team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Liberty,32,25,7,1641.0379822292637,1641.0379822292628,1730.8417170332368,1564.312220975145,1214.8856659018486,1428.5886067506294,1612.2097664535195,1484.2250991600597,1548.176416681593,1643.881153140944,77
Colorado,35,14,21,1640.8734929985908,1640.8734929985899,1568.82367560937,1374.162278143586,1568.8670321265706,1569.41736200224,1593.416354784156,1490.0735356769553,1608.6702551315782,1455.9979181253684,78
Yale,29,21,8,1640.1557582891476,1640.1557582891467,1588.9405237587155,1587.2821101429608,1589.577674569211,1511.0440246774097,1578.6140161536684,1446.6885690387871,1543.1030781485024,1551.193739719727,79
Oregon St.,32,19,13,1633.4334386511216,1633.4334386511207,1633.5794019937032,1486.144427261283,1583.6023963607104,1623.4740003975733,1502.7365322655542,1434.8619334284092,1580.3961525793272,1522.1814141349096,80
North Texas,34,25,9,1631.8563103564097,1631.8563103564088,1518.5665924829586,1508.035751487901,1562.3976452987386,1560.2676461753308,1592.2182427563753,1638.9244911277306,1557.2733635624452,1463.5067957357408,81
Stanford,35,21,14,1630.9131832406304,1630.9131832406295,1528.9465319092883,1598.3753354067896,1561.4087662041495,1453.6433997695628,1541.7925311141641,1512.159317781352,1575.8224006039457,1472.2116831776905,82
Dayton,33,22,11,1628.5205842260132,1628.5205842260123,1610.5369299895797,1591.042289205143,1502.8234100265056,1598.3934921234713,1513.1175132967237,1540.3099645074253,1524.708059169738,1540.1330295944374,83
Florida St.,32,17,15,1625.2047971948925,1625.2047971948916,1534.1366357595368,1492.1720435758605,1508.969276736497,1656.079800742815,1597.632778007306,1603.2416953757313,1495.7749401558026,1449.0154163107588,84
Georgetown,34,18,16,1622.855840840982,1622.855840840981,1519.8804887700012,1501.0227903846435,1592.1063296578275,1391.9878915760912,1582.3329660724064,1603.7290396546662,1534.0401045668173,1533.7093832259145,85
Minnesota,32,15,17,1622.746008990521,1622.74600899052,1531.9443018716001,1571.6752794827594,1524.4174548907633,1501.9287317030041,1583.1558981783178,1515.244787050622,1494.4832316540926,1552.9828661406273,86
George Mason,35,26,9,1618.218135956255,1618.2181359562542,1536.845056789057,1383.6177155989608,1534.6673070111,1701.3866233203378,1651.8894787313047,1595.087820888415,1513.650075368331,1551.5394589158898,87
Saint Joseph's,35,22,13,1614.443099715649,1614.443099715648,1535.855893854251,1532.2119339303736,1507.7779993477886,1511.6520022243678,1610.2110029320531,1459.8970152408228,1547.7712481079911,1637.571398113305,88
Arkansas St.,35,24,11,1613.7682707957244,1613.7682707957235,1459.2282759365683,1620.9570822873995,1593.2600347199802,1498.3303709739184,1597.566899814396,1460.6387286524523,1526.6839350599703,1427.2668712851535,89
Bradley,36,27,9,1610.2402832325652,1610.2402832325643,1651.4840831541596,1483.2926944154983,1424.192382546997,1466.6014786308156,1630.2119872249527,1418.5425843434498,1516.3794401556715,1477.0408243323084,90
High Point,33,27,6,1608.1533742524184,1608.1533742524175,1616.7375028277818,1573.084347578371,1575.222494453695,1561.369753608066,1514.3585476732717,1410.7988778260567,1492.7349491793352,1502.4351063481074,91
Providence,32,12,20,1604.0951030556485,1604.0951030556475,1594.9678076114467,1420.4419401038033,1633.4686039266994,1495.387468481953,1613.4746819143552,1370.5641477400784,1539.8070865530851,1493.3440565838077,92
Notre Dame,33,15,18,1603.5662283511854,1603.5662283511845,1560.4957696902234,1513.6096150175113,1538.23815647151,1516.3471253134903,1529.1268657686794,1412.5679848295688,1626.747403237868,1572.3437666884388,93
Oklahoma St.,35,17,18,1599.9000343637101,1599.9000343637092,1496.77367801788,1460.8962571387228,1590.6819375282962,1649.6152906772807,1504.5466090377295,1688.016941359967,1573.607824909668,1443.7247149937298,94
Lipscomb,33,23,10,1599.4779389553748,1599.477938955374,1599.6095322933086,1609.7649254965067,1325.4845573579264,1479.7676946900267,1538.4693979325057,1457.3670772007504,1560.3838425691122,1665.4663225439856,95
UNLV,33,18,15,1597.9754712241918,1597.9754712241909,1492.9771340063094,1574.4484017791813,1461.5389361640507,1552.6055907380253,1579.0313103811873,1554.9444176966408,1520.4531730047897,1542.457869503614,96
Grand Canyon,33,25,8,1588.5443351318286,1588.5443351318277,1496.4075017375658,1437.9851956732725,1572.2844574870146,1652.7143567195183,1548.9988505969468,1579.9914721388689,1531.3573663867323,1549.0723618235427,97
Northern Iowa,32,19,13,1588.3197625536766,1588.3197625536757,1619.2750470355031,1536.7437000943196,1401.9025427972176,1521.191050098357,1509.585163695487,1489.383798535533,1605.5430756707624,1602.9642013121565,98
